t1time,t1concentration,t1saturation,t1temp,t2time,t2concentration,t2saturation,t2temp,t3time,t3concentration,t3saturation,t3temp,t4time,t4concentration,t4saturation,t4temp,t5time,t5concentration,t5saturation,t5temp,t6time,t6concentration,t6saturation,t6temp,t7time,t7concentration,t7saturation,t7temp
830,1.41,16.2,22.4,926,1.94,22.3,22.4,728,1.59,18.3,22.4,932,0.9,10.2,22.1,270,7.86,90,22.2,472,5.7,65.4,22.3,636,1.6,18.4,22.3
832,1.46,16.7,22.4,928,1.99,22.8,22.4,730,1.65,19,22.5,933,0.92,10.5,22.1,272,7.84,89.7,22.2,474,5.73,65.7,22.3,638,1.66,19.1,22.3
834,1.5,17.2,22.4,930,2.04,23.4,22.4,732,1.71,19.7,22.5,934,0.95,10.8,22.1,274,7.85,89.9,22.2,476,5.77,66.1,22.3,640,1.72,19.7,22.3
836,1.54,17.7,22.4,932,2.08,23.9,22.4,734,1.77,20.4,22.5,935,0.97,11.1,22.1,276,7.91,90.4,22.2,478,5.81,66.6,22.3,642,1.78,20.4,22.3
838,1.58,18.2,22.4,934,2.14,24.6,22.4,736,1.83,21,22.5,936,0.99,11.3,22.1,278,7.95,91,22.2,480,5.85,67,22.3,644,1.84,21.1,22.3
840,1.62,18.6,22.4,936,2.2,25.3,22.4,738,1.89,21.7,22.5,937,1.02,11.6,22.1,280,7.99,91.4,22.2,482,5.85,67,22.3,646,1.9,21.8,22.3
842,1.66,19.1,22.4,938,2.26,26,22.4,740,1.95,22.4,22.5,938,1.04,11.9,22.1,282,8.03,91.9,22.2,484,5.86,67.1,22.3,648,1.96,22.5,22.3
844,1.7,19.6,22.4,940,2.32,26.6,22.4,742,2.01,23.1,22.5,939,1.07,12.2,22.1,284,8.1,92.7,22.2,486,5.89,67.5,22.3,650,2.02,23.2,22.3
846,1.74,20,22.4,942,2.37,27.3,22.4,744,2.07,23.8,22.5,940,1.1,12.5,22.1,286,8.17,93.5,22.2,488,5.94,68.1,22.3,652,2.08,23.9,22.3
848,1.79,20.5,22.4,944,2.43,28,22.4,746,2.13,24.5,22.5,941,1.12,12.8,22.1,288,8.22,94.1,22.2,490,5.98,68.6,22.3,654,2.14,24.6,22.3
850,1.83,21,22.4,946,2.5,28.7,22.4,748,2.18,25.1,22.4,942,1.15,13.1,22.1,290,8.24,94.3,22.2,492,6.02,69,22.3,656,2.2,25.2,22.3
852,1.87,21.5,22.4,948,2.56,29.4,22.4,750,2.23,25.6,22.5,943,1.17,13.4,22.1,292,8.23,94.1,22.2,494,6.09,69.8,22.3,658,2.25,25.8,22.3
854,1.92,22,22.4,950,2.62,30.1,22.4,752,2.28,26.3,22.5,944,1.2,13.7,22.1,294,8.18,93.7,22.2,496,6.16,70.6,22.3,660,2.3,26.4,22.3
856,1.96,22.5,22.4,952,2.68,30.8,22.4,754,2.34,26.9,22.5,945,1.23,14,22.1,296,8.15,93.3,22.2,498,6.22,71.3,22.3,662,2.36,27.1,22.3
858,2.01,23.1,22.4,954,2.74,31.5,22.4,756,2.4,27.6,22.5,946,1.25,14.3,22.1,298,8.13,93.1,22.2,,,,,664,2.43,27.9,22.3
860,2.05,23.5,22.4,956,2.81,32.3,22.4,758,2.46,28.3,22.5,947,1.28,14.6,22.1,300,8.11,92.8,22.2,,,,,666,2.49,28.6,22.3
862,2.09,24,22.4,958,2.87,33,22.4,760,2.52,29,22.5,948,1.31,14.9,22.1,302,8.09,92.6,22.2,,,,,668,2.55,29.2,22.3
864,2.13,24.4,22.4,960,2.92,33.6,22.4,762,2.58,29.7,22.5,949,1.33,15.2,22.1,304,8.09,92.5,22.2,,,,,670,2.6,29.8,22.3
866,2.17,24.9,22.4,962,2.97,34.1,22.4,764,2.64,30.4,22.4,950,1.36,15.5,22.1,306,8.12,92.9,22.2,,,,,672,2.65,30.4,22.3
868,2.2,25.3,22.4,964,3.01,34.6,22.4,766,2.71,31.1,22.4,951,1.39,15.9,22.1,308,8.16,93.3,22.2,,,,,674,2.71,31.1,22.3
870,2.24,25.7,22.4,966,3.06,35.2,22.4,768,2.77,31.8,22.4,952,1.42,16.2,22.1,310,8.17,93.5,22.2,,,,,676,2.77,31.8,22.3
872,2.29,26.2,22.4,968,3.11,35.8,22.4,770,2.83,32.5,22.5,953,1.45,16.5,22.1,312,8.17,93.5,22.2,,,,,678,2.83,32.4,22.3
874,2.34,26.9,22.4,970,3.18,36.5,22.4,772,2.88,33.2,22.5,954,1.47,16.8,22.1,314,8.16,93.4,22.2,,,,,680,2.88,33.1,22.3
876,2.39,27.5,22.4,972,3.24,37.2,22.4,774,2.94,33.9,22.4,955,1.5,17.1,22.1,316,8.15,93.3,22.2,,,,,682,2.94,33.7,22.3
878,2.44,28,22.4,974,3.3,37.9,22.4,776,3.01,34.6,22.4,956,1.53,17.4,22.1,318,8.15,93.2,22.2,,,,,684,3,34.4,22.3
880,2.47,28.4,22.4,976,3.36,38.6,22.4,778,3.08,35.5,22.5,957,1.55,17.7,22.1,320,8.16,93.4,22.2,,,,,686,3.05,35,22.3
882,2.51,28.8,22.4,978,3.41,39.2,22.4,780,3.15,36.2,22.5,958,1.58,18,22.1,322,8.2,93.8,22.2,,,,,688,3.1,35.5,22.3
884,2.55,29.3,22.4,980,3.47,39.9,22.4,782,3.21,36.9,22.5,959,1.61,18.4,22.1,324,8.24,94.3,22.2,,,,,690,3.15,36.1,22.3
886,2.59,29.7,22.4,982,3.52,40.5,22.4,784,3.26,37.5,22.4,960,1.64,18.7,22.1,326,8.26,94.6,22.2,,,,,692,3.2,36.7,22.3
888,2.63,30.2,22.4,984,3.57,41,22.4,786,3.31,38.1,22.4,961,1.67,19.1,22.1,328,8.27,94.6,22.2,,,,,694,3.25,37.3,22.3
890,2.67,30.7,22.4,986,3.61,41.5,22.4,788,3.36,38.6,22.4,962,1.7,19.4,22.1,330,8.28,94.7,22.2,,,,,696,3.31,37.9,22.3
892,2.71,31.2,22.4,988,3.65,42,22.4,790,3.41,39.2,22.4,963,1.73,19.8,22.1,332,8.28,94.7,22.2,,,,,698,3.36,38.5,22.3
894,2.76,31.7,22.4,990,3.7,42.5,22.4,792,3.44,39.6,22.4,964,1.76,20.1,22.1,334,8.27,94.6,22.2,,,,,700,3.41,39.1,22.3
896,2.8,32.2,22.4,992,3.74,42.9,22.4,794,3.48,40,22.4,965,1.79,20.5,22.1,336,8.26,94.5,22.2,,,,,702,3.46,39.6,22.3
898,2.85,32.7,22.4,994,3.78,43.4,22.4,796,3.53,40.6,22.4,966,1.82,20.8,22.1,338,8.27,94.7,22.2,,,,,704,3.5,40.2,22.3
900,2.9,33.2,22.4,996,3.83,44,22.4,798,3.58,41.2,22.5,967,1.85,21.1,22,340,8.3,95,22.2,,,,,706,3.55,40.8,22.3
902,2.94,33.8,22.4,998,3.88,44.5,22.4,800,3.64,41.9,22.5,968,1.88,21.4,22,342,8.31,95,22.2,,,,,708,3.6,41.3,22.3
904,2.98,34.3,22.4,1000,3.92,45.1,22.4,802,3.71,42.6,22.5,969,1.9,21.7,22,344,8.29,94.8,22.2,,,,,710,3.65,41.9,22.3
906,3.02,34.6,22.4,1002,3.97,45.6,22.4,804,3.76,43.2,22.4,970,1.93,22.1,22,346,8.25,94.5,22.2,,,,,712,3.7,42.4,22.3
908,3.05,35,22.4,1004,4.01,46.1,22.4,806,3.79,43.6,22.4,971,1.96,22.4,22.1,348,8.22,94,22.2,,,,,714,3.75,43,22.3
910,3.08,35.4,22.4,1006,4.05,46.5,22.4,808,3.84,44.1,22.4,972,1.98,22.6,22.1,350,8.21,94,22.2,,,,,716,3.8,43.6,22.3
912,3.13,35.9,22.4,1008,4.09,47,22.4,810,3.89,44.7,22.4,973,2.01,22.9,22.1,352,8.26,94.5,22.2,,,,,718,3.85,44.2,22.3
